Manufacturer,Serial Number,Construction Year,Material,Equipment Type,All.Manufacturer part number,,"Please analyze the data and state if there is any data issue or required cleansing ? If yes please state them below in points and what is the next steps which should to be taken accordignly.
Mandatory to state the technique which used for analysing the data ."
FRICOOL,190110332/2019,2019,000000051000000004,3005,1832,,
FRICOOL,19572/2019,2019,000000051000000004,3005,201075929,,
FRICOOL,20130/2004,2004,000000051000000386,3004,FB1844,,
FRICOOL,2109723/2021,2021,000000051000000387,3005,1846,,
FRICOOL,211109/2012,2012,000000051000000004,3005,1847,,
FRICOOL,2222759D,2022,000000051000000004,3005,201075951,,
FRICOOL,25759/2009,2009,000000051000000004,3005,FB1853,,
FRICOOL,2827/2000,2000,000000051000000387,3004,1856,,
FRICOOL,2894/2004,2004,000000051000000386,3004,1860,,
FRICOOL,3321123/2003,2003,000000051000000004,3005,1863,,
FRICOOL,4015308/2004,2004,000000051000000004,3005,1871,,
FRICOOL,44237/2004,2004,000000051000000004,3005,1874,,
FRICOOL,5046/2005,2005,000000051000000383,3001,1878,,
FRICOOL,53319/2005,2005,000000051000000004,3005,20102,,
FRICOOL,613391/2006,2006,000000051000000004,3005,1887,,
FRICOOL,6437/2007,2007,000000051000000385,3003,1888,,
FRICOOL,71557/2007,2007,000000051000000004,3005,FB1889,,
FRICOOL,73493/2007,2007,000000051000000004,3005,1897,,
FRICOOL,74795/2007,2007,000000051000000004,3005,1901,,
FRICOOL,76788/2007,2007,000000051000000004,3005,1903,,
FRICOOL,76833/2007,2007,000000051000000004,3005,1904,,
FRICOOL,77474/2007,2007,000000051000000004,3005,1905,,
FRICOOL,77659/2007,2007,000000051000000004,3005,1906,,
FRICOOL,77789/2007,2007,000000051000000004,3005,1907,,
FRICOOL,7855/2007,2007,000000051000000004,3005,1910,,
FRICOOL,811605/2008,2008,000000051000000004,3005,1912,,
FRICOOL,81357/2008,2008,000000051000000004,3005,1914,,
FRICOOL,81473/2008,2008,000000051000000004,3005,3000097813,,
FRICOOL,816236/2008,2008,000000051000000004,3005,FB1922,,
FRICOOL,816782/2008,2008,000000051000000386,3004,1925,,
FRICOOL,819939/2008,2008,000000051000000004,3005,1929,,
FRICOOL,85636/2008,2008,000000051000000386,3004,1930,,
FRICOOL,8668996/2008,2008,000000051000000004,3005,3000088402,,
FRICOOL,86829/2008,2008,000000051000000385,3003,1934,,
FRICOOL,87477/2008,2008,000000051000000004,3005,1935,,
FRICOOL,87899/2008,2008,000000051000000004,3005,3000103500,,
FRICOOL,885878/2008,2008,000000051000000004,3005,1942,,
FRICOOL,887474/2008,2008,000000051000000004,3005,1946,,
FRICOOL,8921/2008,2008,000000051000000004,3005,1950,,
FRICOOL,912572/2009,2009,000000051000000004,3005,1952,,
FRICOOL,91550/2009,2009,000000051000000387,3005,FB1953,,
FRICOOL,916205/2009,2009,000000051000000004,3005,201054408,,
FRICOOL,917250/2009,2009,000000051000000387,3005,1955,,
FRICOOL,917647/2009,2009,000000051000000448,3006,1956,,
FRICOOL,918744/2009,2009,000000051000000003,3004,1958,,
FRICOOL,919375/2009,2009,000000051000000004,3005,3000100738,,
FRICOOL,920714/2009,2009,000000051000000387,3005,1960,,
FRICOOL,92108/2009,2009,000000051000000004,3005,1964,,
FRICOOL,92159/2009,2009,000000051000000004,3005,1965,,
FRICOOL,921907/2009,2009,000000051000000004,3005,1968,,
FRICOOL,924110/2009,2009,000000051000000448,3006,04750001062430,,
FRICOOL,92460/2009,2009,000000051000000004,3005,1973,,
FRICOOL,926142/2009,2009,000000051000000383,3001,FB1976,,
FRICOOL,926147/2009,2005,000000051000000383,3001,1977,,
FRICOOL,928189/2009,2009,000000051000000004,3005,1978,,
FRICOOL,930/2009,2009,000000051000000386,3004,1979,,
FRICOOL,95474/2009,2009,000000051000000004,3005,1980,,
FRICOOL,95571/2009,2009,000000051000000004,3005,FB1981,,
FRICOOL,96639/2009,2009,000000051000000004,3005,3000103549,,
FRICOOL,978668/2009,2009,000000051000000004,3005,04750001037490,,
FRICOOL,98473/2009,2009,000000051000000004,3005,201071691,,
FRICOOL,99050/2009,2009,000000051000000004,3005,1998,,
FRICOOL,9976/2009,2009,000000051000000003,3004,1999,,
Freccol,000000000000000001,2021,000000051000000376,3012,FB2012,,
Freccol,000000003000099130,2021,000000051000000004,3005,3000109447,,
Freccol,209501/2020,2021,000000051000000006,3007,2021,,
Freccol,209502/2020,2021,000000051000000006,3007,2030,,
Freccol,209504/2020,2021,000000051000000006,3007,2065,,
Freccol,209505/2020,2021,000000051000000006,3007,2066,,
Freccol,21001017/2021,2021,000000051000000005,3006,FB2070,,
EVREST,1020029/2010,2010,000000051000000004,3005,FB2071,,
EVREST,1114922/2011,2011,000000051000000004,3005,3000088662,,
EVREST,1219863/2012,2012,000000051000000004,3005,2074,,
EVREST,149850/2014,2014,000000051000000004,3005,2075,,
EVREST,180557/2018E,2018,000000051000000004,3005,FB2078,,
EVREST,182155/2018,2018,000000051000000387,3004,2082,,
EVREST,2002291/2022,2022,000000051000000388,3006,2085,,
EVREST,2108353/2021,2021,000000051000000448,3006,FB2099,,
EVREST,2108356/2021,2021,000000051000000448,3006,FB2106,,
EVREST,2108457/2021,2021,000000051000000448,3006,04750001069752,,
EVREST,2108467/2021,2021,000000051000000448,3006,2119,,
EVREST,2108469/2021,2021,000000051000000448,3006,201075866,,
EVREST,2108483/2021,2021,000000051000000448,3006,2124,,
EVREST,2108486/2021,2021,000000051000000448,3006,2125,,
EVREST,2108490/2021,2021,000000051000000448,3006,2126,,
EVREST,2108512/2021,2021,000000051000000448,3006,2128,,
EVREST,2108514/2021,2021,000000051000000448,3006,FB2129,,
EVREST,2108518/2021,2021,000000051000000448,3006,2136,,
EVREST,2108535/2021,2021,000000051000000448,3006,2137,,
EVREST,2108578/2021,2021,000000051000000448,3006,2138,,
EVREST,2108583/2021,2021,000000051000000448,3006,FB2139,,
EVREST,2108584/2021,2021,000000051000000448,3006,2143,,
EVREST,2108585/2021,2021,000000051000000448,3006,2144,,
EVREST,2108587/2021,2021,000000051000000448,3006,2152,,
EVREST,2108588/2021,2021,000000051000000448,3006,FB2153,,
EVREST,2108589/2021,2021,000000051000000448,3006,2154,,
EVREST,2108593/2021,2021,000000051000000448,3006,2155,,
EVREST,2108614/2021,2021,000000051000000448,3006,01054336,,
EVREST,2108650/2021,2021,000000051000000448,3006,2159,,
EVREST,2108653/2021,2021,000000051000000448,3006,201075934,,
EVREST,2108654/2021,2021,000000051000000448,3006,2162,,
EVREST,2108690/2021,2021,000000051000000448,3006,2166,,
EVREST,2108752/2021,2021,000000051000000448,3006,FB2168,,
EVREST,2108764/2021,2021,000000051000000448,3006,2171,,
EVREST,2108827/2021,2021,000000051000000448,3006,04750001069921,,
EVREST,2108830/2021,2021,000000051000000448,3006,FB2178,,
EVREST,2108831/2021,2021,000000051000000448,3006,2181,,
EVREST,2109901/2021,2021,000000051000000004,3005,2182,,
EVREST,2109908/2021,2021,000000051000000004,3005,2186,,
EVREST,2109940/2021,2021,000000051000000004,3005,2187,,
EVREST,2109943/2021,2021,000000051000000004,3005,2188,,
EVREST,2109945/2021,2021,000000051000000004,3005,FB2189,,
EVREST,21100167/2021,2021,000000051000000004,3005,2190,,
EVREST,2110266/2021,2021,000000051000000004,3005,2191,,
EVREST,2200063/2022,2022,000000051000000448,3006,2195,,
EVREST,2200867/2022,2022,000000051000000448,3006,2200,,
EVREST,2201174/2022,2022,000000051000000448,3006,2201,,
EVREST,2201379/2022,2022,000000051000000448,3006,FB2202,,
EVREST,2202284/2022,2022,000000051000000448,3006,2203,,
EVREST,2202400/2022,2022,000000051000000448,3006,201071653,,
EVREST,2207538/2022,2022,000000051000000387,3005,FB2210,,
EVREST,22110073/2022,2022,000000051000000387,3005,201075935,,
EVREST,912942/2009,2009,000000051000000004,3005,FB2214,,
EVREST,95262/2009,2009,000000051000000004,3005,FB2216,,
EVERST,1215111D,2012,000000051000000004,3005,2218,,
EVERST,184933/2018,2018,000000051000000004,,FB2219,,
EVERST,2105614/2021,2021,000000051000000004,3005,2220,,
EVERST,2106520/2021,2021,000000051000000004,3005,2221,,
EVERST,2108313/2021,2021,000000051000000004,3005,2224,,
Everest,000000000000011112,2021,000000051000000000,3001,FB2227,,
Everest,063332/2006,2006,000000051000000004,3005,2228,,
Everest,0901/2006,2006,000000051000000004,3005,2229,,
Everest,091833/2009,2009,000000051000000004,3005,2237,,
Everest,1002879/2010,2010,000000051000000004,3005,2240,,
Everest,1010481/2010,2010,000000051000000386,3004,2241,,
Everest,1010882/2010,2010,000000051000000004,3005,2242,,
Everest,1011022/2010,2010,000000051000000004,3005,2244,,
Everest,1011494/2010,2010,000000051000000004,3005,2246,,
Everest,1011757/2010,2010,000000051000000004,3005,2247,,
Everest,1012591/2010,2010,000000051000000387,3005,201054327,,
Everest,1012675/2010,2010,000000051000000387,3005,FB2249,,
Everest,101972/2010,2010,000000051000000004,3005,2253,,
Everest,1019957/2010,2010,000000051000000004,3005,201075971,,
Everest,1020340/2010,2010,000000051000000004,3005,3000097830,,
Everest,1020377/2010,2010,000000051000000004,3005,FB2258,,
Everest,10262/2010,2010,000000051000000004,3005,2260,,
Everest,106179/2010,2010,000000051000000004,3005,2261,,
Everest,106549/2010,2010,000000051000000004,3005,FB2263,,
Everest,109054/2019,2019,000000051000000004,3005,2264,,
Everest,1101257/2011,2011,000000051000000004,3005,201054,,
Everest,1104757/2011,2011,000000051000000004,3005,2266,,
